nb_pakt,total pakt,time,throughput Gb/s,rte_burst,pkt_analysis,nb_pakt/s,total pakt/s
1 core offload
1694590, 53667980, 13.228381, 1.947376, 744778576, 1184079939, 0.128103, 4.057033
1690670, 53543244, 13.227784, 1.942938, 729022906, 1183231752, 0.127812, 4.047786
1694009, 53647728, 13.228489, 1.946625, 841543141, 1190596188, 0.128058, 4.055469
1694298, 53659083, 13.228489, 1.947037, 733847529, 1184990191, 0.128079, 4.056327
1692728, 53612163, 13.228509, 1.945332, 835317784, 1192323951, 0.127961, 4.052774
1694150, 53653701, 13.228477, 1.946844, 727224481, 1184118948, 0.128068, 4.055924
1694699, 53673452, 13.228484, 1.947559, 840332992, 1194578765, 0.128110, 4.057415
1694273, 53659748, 13.228499, 1.947060, 804144099, 1192835306, 0.128077, 4.056375
1693990, 53648391, 13.228513, 1.946646, 818037278, 1189268929, 0.128056, 4.055512
1693836, 53644978, 13.228519, 1.946521, 835618341, 1195831825, 0.128044, 4.055252
2 core offload
3370677, 106289723, 13.228360, 3.856795, 1514050219, 2324413742, 0.254807, 8.034989
3370095, 106275219, 13.228503, 3.856227, 1451985163, 2327285418, 0.254760, 8.033806
3370893, 106286122, 13.228500, 3.856623, 1517689831, 2338052121, 0.254821, 8.034631
3362595, 106030794, 13.228500, 3.847358, 1437528255, 2332603162, 0.254193, 8.015330
3369826, 106266142, 13.228430, 3.855919, 1503813594, 2334894166, 0.254741, 8.033164
3366026, 106155909, 13.228494, 3.851900, 1513482495, 2337584456, 0.254453, 8.024792
3362767, 106026671, 13.228506, 3.847207, 1388807614, 2322159542, 0.254206, 8.015015
3370773, 106289273, 13.228512, 3.856734, 1387689799, 2318369443, 0.254811, 8.034862
3369115, 106248582, 13.226925, 3.855720, 1505480996, 2325342584, 0.254716, 8.032750
3360870, 105986876, 13.228347, 3.845809, 1514871930, 2333137650, 0.254066, 8.012103
3 core offload
4517878, 141643888, 13.228419, 5.139621, 1969815997, 3120042615, 0.341528, 10.707544
4517452, 141616686, 13.228536, 5.138589, 1876537486, 3099161236, 0.341493, 10.705394
4516210, 141578183, 13.228550, 5.137186, 1889201343, 3102307609, 0.341399, 10.702471
4514440, 141530045, 13.228546, 5.135441, 1937769607, 3116793745, 0.341265, 10.698836
4498936, 141043076, 13.228563, 5.117765, 1953564640, 3120995981, 0.340093, 10.662010
4514844, 141537588, 13.228550, 5.135713, 1931347977, 3110655686, 0.341295, 10.699403
4516439, 141592250, 13.228520, 5.137709, 1952583390, 3117050418, 0.341417, 10.703559
4506069, 141268077, 13.228446, 5.125974, 1944859155, 3110396701, 0.340635, 10.679113
4514319, 141526465, 13.228527, 5.135319, 1965050097, 3120820243, 0.341256, 10.698581
4514614, 141532382, 13.228349, 5.135603, 1952989880, 3121608208, 0.341283, 10.699172
4 core offload
6186429, 192343442, 13.228424, 6.979278, 2610444777, 4260726648, 0.467662, 14.540163
6186794, 192350629, 13.228547, 6.979474, 2626466259, 4262809161, 0.467685, 14.540571
6187758, 192388802, 13.228540, 6.980863, 2584035576, 4248261877, 0.467758, 14.543464
6174084, 191970999, 13.228569, 6.965688, 2616544421, 4249695431, 0.466724, 14.511849
6187090, 192365142, 13.228561, 6.979994, 2602074246, 4256296950, 0.467707, 14.541653
6187883, 192386060, 13.228386, 6.980845, 2626380919, 4258978282, 0.467773, 14.543427
6171819, 191879087, 13.228555, 6.962360, 2516509997, 4220852727, 0.466553, 14.504917
6188415, 192403102, 13.228550, 6.981377, 2617796703, 4261056836, 0.467808, 14.544534
