nb_pakt M,total pakt M,time,throughput GB/s,rte_burst cycle G,pkt_analysis cycle G,M nb_pakt/s,total pakt/s
217068696, 217068696, 13.378077, 7.788337, 5692031571, 33981872615, 16.225702, 16.225702
221494780, 221494780, 13.609383, 7.812073, 5838865737, 34539987845, 16.275152, 16.275152
216837848, 216837848, 13.284103, 7.835092, 5619237750, 33793478901, 16.323108, 16.323108
216998821, 216998821, 13.369224, 7.790986, 5627940484, 34030895249, 16.231221, 16.231221
221719676, 221719676, 13.644579, 7.799834, 5705958638, 34770663383, 16.249653, 16.249653
216852456, 216852456, 13.379841, 7.779553, 5637606932, 34013863063, 16.207401, 16.207401
223566899, 223566899, 13.667443, 7.851660, 5505257220, 35041182319, 16.357624, 16.357624
216868643, 216868643, 13.360328, 7.791497, 5625339949, 34011571635, 16.232285, 16.232285
215502118, 215502118, 13.230939, 7.818116, 5629270061, 33623736238, 16.287742, 16.287742
214154112, 214154112, 13.196719, 7.789358, 5560068121, 33580376522, 16.227830, 16.227830
64b
215637408, 215637408, 13.296815, 7.784267, 5972176172, 33353309965, 16.217222, 16.217222
224115804, 224115804, 13.620770, 7.897908, 5458658531, 34946895670, 16.453974, 16.453974
222031174, 222031174, 13.627832, 7.820390, 5832901227, 34588464657, 16.292480, 16.292480
222795681, 222795681, 13.674048, 7.820795, 5520645262, 35041514786, 16.293323, 16.293323
216587264, 216587264, 13.330647, 7.798713, 5639208773, 33907991188, 16.247318, 16.247318
100b
213246792, 213246792, 13.364297, 12.254557, 5838923443, 33792208435, 15.956454, 15.956454
213778196, 213778196, 13.364750, 12.284678, 5800818119, 33859996645, 15.995675, 15.995675
210037012, 210037012, 13.330636, 12.100579, 5722082531, 33839781044, 15.755963, 15.755963
213763659, 213763659, 13.376734, 12.272838, 5813386520, 33882276825, 15.980257, 15.980257
212952604, 212952604, 13.360351, 12.241265, 5772419686, 33876774774, 15.939148, 15.939148
200b
227566943, 227566943, 14.748918, 24.193298, 6474099144, 37116462981, 15.429399, 15.429399
227377646, 227377646, 14.756333, 24.161027, 6481266690, 37325039987, 15.408818, 15.408818
229369330, 229369330, 14.768796, 24.352095, 6527670194, 37314006650, 15.530673, 15.530673
229435619, 229435619, 14.789516, 24.325005, 6538149384, 37366321569, 15.513396, 15.513396
229166604, 229166604, 14.785418, 24.303218, 6532183524, 37361003605, 15.499501, 15.499501
300b
235292028, 235292028, 15.077822, 36.953051, 6292241220, 38481829185, 15.605174, 15.605174
235002513, 235002513, 15.132302, 36.774706, 6261201975, 38659321679, 15.529859, 15.529859
235075206, 235075206, 15.127716, 36.797232, 6270852869, 38654072068, 15.539371, 15.539371
235398406, 235398406, 15.112426, 36.885106, 6260891806, 38617221431, 15.576480, 15.576480
235170041, 235170041, 15.080417, 36.927536, 6302506998, 38474469311, 15.594399, 15.594399
400b
258944000, 258944000, 16.807579, 48.807421, 6699299222, 43190678648, 15.406383, 15.406383
258573630, 258573630, 16.802350, 48.752779, 6714288869, 43182965809, 15.389135, 15.389135
259084645, 259084645, 16.801343, 48.852057, 6680789816, 43217043495, 15.420473, 15.420473
257682188, 257682188, 16.799506, 48.592927, 6643485735, 43244664456, 15.338676, 15.338676
259228316, 259228316, 16.802908, 48.874595, 6678952475, 43221658524, 15.427587, 15.427587
800b
399417697, 399417697, 27.894196, 91.183554, 13152174992, 69548681647, 14.319025, 14.319025
399819846, 399819846, 27.886296, 91.301217, 13702848074, 68969704775, 14.337503, 14.337503
399983355, 399983355, 27.925284, 91.211032, 13736122949, 69079426048, 14.323341, 14.323341
399978378, 399978378, 27.876390, 91.369876, 13488357995, 69201521345, 14.348285, 14.348285
399976459, 399976459, 27.898774, 91.296130, 13645112760, 69128991250, 14.336704, 14.336704
1600b
399726821, 399726821, 49.546279, 97.716547, 24228121697, 69891651933, 8.067747, 8.067747
399986561, 399986561, 49.581018, 97.711532, 24249656630, 69941829175, 8.067333, 8.067333
399998947, 399998947, 49.598664, 97.679794, 24139441360, 70063474838, 8.064712, 8.064712
399998520, 399998520, 49.578010, 97.720383, 24272044437, 70638202364, 8.068063, 8.068063
399838972, 399838972, 49.557722, 97.721394, 24281718950, 69968189498, 8.068147, 8.068147
214761800, 214761800, 13.179654, 7.821576, 5499939246, 33560489280, 16.294949, 16.294949
214030707, 214030707, 13.258062, 7.748851, 5868054477, 33278080381, 16.143439, 16.143439
216274180, 216274180, 13.231372, 7.845869, 5666467461, 33567856947, 16.345559, 16.345559
215964632, 215964632, 13.329715, 7.776837, 5617887904, 33828998939, 16.201744, 16.201744
214702703, 214702703, 13.277861, 7.761589, 5468916570, 33726667652, 16.169977, 16.169977
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
127388800, 127388800, 12.341804, 4.954431, 3197597711, 33411169616, 10.321732, 10.321732
128008836, 128008836, 12.286066, 5.001132, 3202502423, 33387170322, 10.419026, 10.419026
